id,text_en,text_am,label,ubuntu_harm_type,relational_harm,relation_target,severity,context,language,rationale_en,rationale_am
131,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
132,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
133,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
134,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
135,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
136,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
137,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
138,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
139,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
140,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
141,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
142,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
143,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
144,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
145,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
146,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
147,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
148,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
149,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
150,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
151,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
152,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
153,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
154,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
155,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
156,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
157,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
158,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
159,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
160,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
161,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
162,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
163,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
164,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
165,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
166,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
167,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
168,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
169,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
170,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
171,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
172,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
173,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
174,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
175,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
176,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
177,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
178,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
179,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
180,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
181,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
182,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
183,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
184,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
185,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
186,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
187,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
188,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
189,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
190,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
191,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
192,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
193,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
194,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
195,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
196,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
197,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
198,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
199,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
200,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
201,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
202,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
203,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
204,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
205,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
206,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
207,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
208,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
209,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
210,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
211,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
212,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
213,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
214,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
215,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
216,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
217,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
218,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
219,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
220,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
221,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
222,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
223,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
224,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
225,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
226,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
227,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
228,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
229,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
230,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
231,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
232,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
233,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
234,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
235,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
236,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
237,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
238,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
239,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
240,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
241,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
242,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
243,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
244,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
245,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
246,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
247,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
248,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
249,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
250,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
251,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
252,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
253,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
254,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
255,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
256,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
257,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
258,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
259,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
